timestamp totalIteration totalTime residual transformationUpdateNorm nbMatches
0.12928500000000001 4 35.712001800537109 23.471639633178711 2.0008109500692894 3399
0.22884499999999999 6 44.759998321533203 24.68968391418457 2.0036558517956089 3327
0.32832919999999999 4 30.239999771118164 25.671979904174805 2.0001585233391412 3177
0.42916149999999997 4 34.006000518798828 25.032236099243164 2.0000754785749004 3315
0.52874149999999998 3 26.851999282836914 27.766017913818359 2.0000185261294496 3242
0.62827650000000002 3 25.597000122070312 30.960559844970703 2.0000210019180891 3197
0.72909800000000002 3 25.757999420166016 32.855335235595703 2.0001100700955865 3094
0.82866870000000004 4 33.937999725341797 33.0570068359375 2.0000291967718522 3076
0.92815320000000001 4 30.676000595092773 34.704010009765625 2.0000862723042916 3069
1.0290648 4 31.076000213623047 34.975311279296875 2.0000512295169655 3077
1.1285612 4 33.615001678466797 34.438602447509766 2.0000606095953972 2999
1.2294327 4 37.474998474121094 19.225320816040039 2.0000133387904366 3465
1.3289656000000001 4 32.938999176025391 21.569923400878906 2.0000061443056443 3448
1.4284889000000001 4 35.441001892089844 23.931093215942383 2.0000632054627574 3386
1.5293627999999999 3 27.305000305175781 25.520788192749023 2.000007275754486 3333
1.6289345 4 35.562999725341797 24.37745475769043 2.0002509701824644 3353
1.7284168 4 34.430000305175781 25.451622009277344 2.0002635204551846 3260
1.8293168 4 33.090000152587891 22.834541320800781 2.0000528451651416 3249
1.9288417 4 33.522998809814453 23.681543350219727 2.0000284112876443 3282
2.0297073000000001 5 40.534999847412109 25.086555480957031 2.0007638215133734 3206
2.1292024999999999 4 32.049999237060547 26.058525085449219 2.0000514139873684 3152
2.2287317999999998 4 35.143001556396484 27.456438064575195 2.0000462745023735 3206
2.3282696000000001 4 33.7239990234375 19.217807769775391 2.0000068050642308 3542
2.4291564000000001 4 36.511001586914062 22.035610198974609 2.0000072841632748 3559
2.5286495000000002 4 34.214000701904297 22.687379837036133 2.0000169665533671 3399
2.6295658999999998 3 26.73699951171875 23.774663925170898 2.000025554424556 3384
2.7290412000000002 3 27.218000411987305 23.634420394897461 2.000032314062723 3435
2.8286300999999998 6 47.617000579833984 25.755363464355469 2.0000220064543446 3329
2.9294888000000001 4 37.287998199462891 23.254005432128906 2.0000564979405016 3336
3.0290032999999998 3 28.149999618530273 24.143207550048828 2.0000016415172719 3312
3.1285473000000001 3 28.197999954223633 24.74711799621582 2.0000012913847414 3340
3.2294189000000002 4 34.499000549316406 24.942481994628906 2.0000538333514259 3324
3.3289323999999998 4 37.490001678466797 24.212486267089844 2.0001123219369701 3399
3.4284848000000001 4 34.794998168945312 24.687232971191406 2.0000052058333351 3372
3.5293271000000002 4 35.722999572753906 26.515731811523438 2.0000647758616084 3376
3.6288646999999998 4 35.629001617431641 26.075925827026367 2.0000378551001181 3340
3.7296974000000001 5 42.270000457763672 27.57612419128418 2.0000772519233787 3362
