# timestamp x y z q_x q_y q_z q_w
1671108954.1846623 -46.782997774334056 -145.78175741057916 0.75250318296838303 0 0 0.70710678118654746 0.70710678118654757
1671108954.2855649 -46.782997774334056 -145.78175741057916 0.75250318296838303 0 0 0.70710678118654746 0.70710678118654757
1671108954.3851249 -46.776456230832636 -145.90414054206562 0.74710184482228936 0.00076140371289817063 -0.0018177590090596035 0.70645883664894471 0.70775138865083909
1671108954.4846091 -46.782318946085219 -146.01462555008297 0.72406168869547538 0.0013610846424223092 0.000918791407575675 0.70606065408904484 0.70814945881381297
1671108954.5854414 -46.787947124993757 -146.0688862600438 0.72392685845294025 0.0001578518697989282 0.00052687199374453354 0.70642803941858612 0.70778465836149773
1671108954.6850214 -46.776236639000011 -146.13952660067724 0.73014676252780475 -0.0017710253033411298 0.00018017156159582309 0.70469045562332189 0.70951264453917817
1671108954.7845564 -46.768041444157994 -146.22086064176131 0.71742522530164554 -0.0019808814140175593 0.0010456632293720091 0.70454088225162548 0.70965986777704682
1671108954.8853779 -46.769967168722488 -146.33278568873052 0.72826828184314063 0.0047733429486912947 -0.001306084321821197 0.70482201362810804 0.70936692793367351
1671108954.9849486 -46.761511297343255 -146.41086530925207 0.72279665108192703 -0.0017176545045367838 5.5954270665176808e-05 0.70650699000072426 0.70770397738902036
1671108955.0844331 -46.755810508151725 -146.49546562314768 0.70700659196674809 0.0011364069809460789 0.0036741370759393287 0.70965119417346834 0.70454268281211396
1671108955.1853447 -46.747117556544303 -146.56116714986589 0.70004611725648858 0.0013107027035390837 0.0026951433304882953 0.70754410086891173 0.70666283586053547
1671108955.2848411 -46.758623464869984 -146.65481027793422 0.67622427850095546 -0.0030317249563995797 -0.00046921002932494093 0.70700827735725269 0.70719861724558453
1671108955.3857126 -46.756167417090992 -146.72715072644101 0.66730127957295615 -9.572546809370286e-05 0.0048492122925321663 0.70767432901272365 0.70652212989627428
1671108955.4852455 -46.754234488655207 -146.79022049481034 0.66518992343358685 -0.0022771158044379803 0.0057244105413072907 0.70681513758076164 0.70737147748142659
1671108955.5847688 -46.740494824589973 -146.87612045948467 0.67765191168813033 -0.0022087005312906218 0.0038656533608133637 0.70608056151784637 0.70811751779821119
1671108955.6856427 -46.714393772021751 -146.98431626100032 0.67716360742677928 0.0052283546556188077 0.0058365039258232955 0.70698902477960235 0.70718110719299165
1671108955.7852144 -46.694012804295355 -147.05684561850322 0.64358900858005497 -0.0056088185283029758 0.0036486905638429029 0.70752933701375742 0.70665229460942003
1671108955.8846967 -46.710224229058994 -147.12571934301258 0.65342654708884651 -0.0039006063539567181 0.0074350906949020084 0.70996850473725803 0.70418337595939595
1671108955.9855967 -46.676536536009607 -147.21395248994344 0.65619912108425049 -0.0022361284114577008 0.0043943733020366986 0.70878126603605329 0.70541109016610959
