# timestamp x y z q_x q_y q_z q_w
1671108756.9839306 2.0624305058105388 -0.8048473706667103 0.042018262410351781 0 0 0 1
1671108757.0853117 2.0612442244944722 -0.80457703637568512 0.040060015622430001 0 0 0 1
1671108757.1882396 2.0642611776862623 -0.80368912518458058 0.040533195082844031 0 0 0 1
1671108757.2943933 2.064531821689719 -0.80255187775759373 0.040072890351666501 0 0 0 1
1671108757.3846722 2.0595074662040744 -0.80411473394311905 0.043318855165125569 0 0 0 1
1671108757.4855812 2.0636880901010799 -0.80526738351896521 0.040182307276609208 0 0 0 1
1671108757.5916157 2.0618892612521469 -0.8063165629911464 0.039379040937546961 0 0 0 1
1671108757.6831179 2.0610766403852092 -0.80417187707505633 0.044980676240129469 0 0 0 1
1671108757.7881002 2.0633476756710154 -0.80474825689698826 0.042897419587461627 0 0 0 1
1671108757.8839376 2.0605054360959629 -0.80551141584386543 0.044237356303824527 0 0 0 1
1671108757.9784832 2.0598026143839685 -0.80467341426472849 0.046330205636763822 0 0 0 1
1671108758.0812378 2.0601617954156461 -0.80140317977105535 0.047998496881405117 0 0 0 1
1671108758.1764388 2.0600004220751109 -0.80322241346208256 0.04617217200734558 0 0 0 1
1671108758.2807064 2.0588250502879326 -0.80416179814265354 0.045523655534339014 0 0 0 1
1671108758.3669462 2.0615362025122064 -0.80231587798480142 0.047187936266595898 0 0 0 1
1671108758.4824998 2.0590960545191357 -0.80315436461398471 0.051979778217173589 0 0 0 1
1671108758.5709717 2.0619548716802658 -0.80249583249045175 0.043518994814576217 0 0 0 1
1671108758.6753461 2.0637067895549777 -0.80522663918100745 0.043610709622043942 0 0 0 1
1671108758.7733397 2.0611366254146883 -0.80611814387168135 0.038728255523437838 0 0 0 1
1671108758.8742628 2.0592434666645918 -0.80858729716550437 0.041935101424996901 0 0 0 1
1671108758.9696536 2.0586659852488753 -0.80591058870454979 0.04280257114419328 0 0 0 1
1671108759.0698345 2.0584900313743284 -0.80536256232353798 0.04394869603584084 0 0 0 1
1671108759.1596067 2.0587079810102984 -0.80220180461740942 0.042820991253734064 0 0 0 1
1671108759.2767832 2.0601779874948378 -0.80537482076357025 0.044238212428126644 0 0 0 1
1671108759.3738873 2.0603530992580308 -0.80335833204637608 0.044383449602150904 0 0 0 1
